hour,bus_id,demandP,demandQ
1,1,284.117565915,28.4117565915
2,1,275.537242938,27.553724293800002
3,1,270.29393059200004,27.029393059200004
4,1,268.411211991,26.8411211991
5,1,270.52976173200005,27.05297617320001
6,1,276.15826494000004,27.615826494000004
7,1,288.68482899300005,28.868482899300005
8,1,311.15953663500005,31.115953663500008
9,1,344.223062463,34.4223062463
10,1,349.112628099,34.9112628099
11,1,341.314478403,34.131447840300005
12,1,331.61002699200003,33.161002699200004
13,1,314.524060899,31.452406089900002
14,1,324.22851231000004,32.422851231
15,1,330.077124582,33.007712458200004
16,1,337.00269906000005,33.70026990600001
17,1,350.268200685,35.0268200685
18,1,348.790325541,34.8790325541
19,1,340.75634470500006,34.075634470500006
20,1,328.81935850200006,32.88193585020001
21,1,317.361895617,31.7361895617
22,1,302.127203973,30.212720397300004
23,1,295.33919766,29.533919766000004
24,1,299.273647179,29.927364717900005
1,2,251.927754285,25.1927754285
2,2,244.319560502,24.4319560502
3,2,239.670302368,23.9670302368
4,2,238.000891089,23.8000891089
5,2,239.879414428,23.9879414428
6,2,244.87022226,24.487022226
7,2,255.97755784699999,25.5977557847
8,2,275.905937165,27.590593716500003
9,2,305.223447977,30.5223447977
10,2,309.559038021,30.9559038021
11,2,302.64439923699996,30.264439923699996
12,2,294.03943796799996,29.403943796799997
13,2,278.889269221,27.8889269221
14,2,287.49423049,28.749423049
15,2,292.68020957799996,29.268020957799997
16,2,298.82113374,29.882113374
17,2,310.583687115,31.0583687115
18,2,309.273251539,30.9273251539
19,2,302.149500695,30.2149500695
20,2,291.56494525799997,29.1564945258
21,2,281.405584343,28.1405584343
22,2,267.896945267,26.7896945267
23,2,261.87800314,26.187800314
24,2,265.366689341,26.5366689341
1,3,322.12971744,32.212971744
2,3,312.401431168,31.2401431168
3,3,306.45661491199996,30.6456614912
4,3,304.322006976,30.432200697600003
5,3,306.723997952,30.6723997952
6,3,313.10553984,31.310553984000002
7,3,327.308035648,32.7308035648
8,3,352.78963935999997,35.278963936
9,3,390.276741568,39.0276741568
10,3,395.82048326399996,39.5820483264
11,3,386.979017408,38.697901740800006
12,3,375.976205312,37.5976205312
13,3,356.60430406399996,35.660430406399996
14,3,367.60711616,36.760711616
15,3,374.238215552,37.4238215552
16,3,382.09036416,38.209036416
17,3,397.13066016,39.713066016
18,3,395.455059776,39.5455059776
19,3,386.34621088,38.634621088
20,3,372.812172672,37.2812172672
21,3,359.821813312,35.9821813312
22,3,342.548868928,34.2548868928
23,3,334.85269375999997,33.485269376
24,3,339.313534144,33.9313534144
1,4,190.11706764,19.011706764
2,4,184.375550608,18.4375550608
3,4,180.866991872,18.0866991872
4,4,179.607172056,17.9607172056
5,4,181.02479811199998,18.1024798112
6,4,184.79110703999999,18.479110704
7,4,193.17324848799998,19.3173248488
8,4,208.21218316,20.821218316
9,4,230.336618008,23.0336618008
10,4,233.608467384,23.3608467384
11,4,228.39034104799998,22.8390341048
12,4,221.896614272,22.1896614272
13,4,210.46355218399998,21.0463552184
14,4,216.95727896,21.695727896
15,4,220.870873712,22.0870873712
16,4,225.50511695999998,22.550511696
17,4,234.38171795999997,23.438171796
18,4,233.39279885599998,23.3392798856
19,4,228.01686628,22.801686628
20,4,220.029240432,22.0029240432
21,4,212.36248727199998,21.2362487272
22,4,202.168204168,20.2168204168
23,4,197.62601456,19.762601456
24,4,200.258748664,20.025874866400002
1,5,121.47797847,12.147797847
2,5,117.80935528399999,11.7809355284
3,5,115.567512256,11.556751225600001
4,5,114.762532638,11.4762532638
5,5,115.668344776,11.5668344776
6,5,118.07488092,11.807488092
7,5,123.430768274,12.343076827400001
8,5,133.04010743,13.304010743000001
9,5,147.176826734,14.7176826734
10,5,149.267420982,14.926742098200002
11,5,145.93322565399998,14.5933225654
12,5,141.783967456,14.1783967456
13,5,134.47865138199998,13.4478651382
14,5,138.62790958,13.862790958
15,5,141.128556076,14.1128556076
16,5,144.08967108,14.408967107999999
17,5,149.76150033,14.976150033
18,5,149.129616538,14.9129616538
19,5,145.69458869,14.569458869
20,5,140.590782636,14.0590782636
21,5,135.69200270599998,13.5692002706
22,5,129.178221914,12.9178221914
23,5,126.27592587999999,12.627592587999999
24,5,127.958148422,12.7958148422
1,6,27.80312412,2.7803124120000002
2,6,26.963472464,2.6963472464000002
3,6,26.450373375999998,2.6450373376
4,6,26.266134647999998,2.6266134648
5,6,26.473451296,2.6473451296
6,6,27.024244319999998,2.702424432
7,6,28.250066504,2.8250066504
8,6,30.449392279999998,3.044939228
9,6,33.684916664,3.3684916664
10,6,34.163398872,3.4163398872000004
11,6,33.400288984,3.3400288984
12,6,32.450632576,3.2450632576
13,6,30.778637271999997,3.0778637272
14,6,31.72829368,3.1728293680000004
15,6,32.300626096,3.2300626096000005
16,6,32.97834768,3.297834768
17,6,34.27648068,3.427648068
18,6,34.131859047999995,3.4131859047999997
19,6,33.34567124,3.3345671240000003
20,6,32.177543856,3.2177543856
21,6,31.056341575999998,3.1056341576
22,6,29.565507944,2.9565507944
23,6,28.90124848,2.890124848
24,6,29.286265112,2.9286265112
1,7,43.896584235000006,4.389658423500001
2,7,42.570911642000006,4.257091164200001
3,7,41.760812128000005,4.176081212800001
4,7,41.469929319,4.146992931900001
5,7,41.797248388,4.1797248388
6,7,42.66686046,4.266686046
7,7,44.602233137000006,4.460223313700001
8,7,48.074608715000004,4.807460871500001
9,7,53.182972367000005,5.318297236700001
10,7,53.938417491,5.393841749100001
11,7,52.733591827000005,5.273359182700001
12,7,51.234239728000006,5.123423972800001
13,7,48.594432691,4.859443269100001
14,7,50.09378479,5.009378479
15,7,50.997404038000006,5.099740403800001
16,7,52.067415540000006,5.206741554000001
17,7,54.11695516500001,5.411695516500001
18,7,53.888621269000005,5.388862126900001
19,7,52.647359345000005,5.264735934500001
20,7,50.80307731800001,5.080307731800001
21,7,49.032882353000005,4.903288235300001
22,7,46.679099957000005,4.6679099957000005
23,7,45.630342940000006,4.563034294
24,7,46.238221211,4.623822121100001
1,8,153.97977216,15.397977216000001
2,8,149.329597952,14.9329597952
3,8,146.48794316800002,14.648794316800002
4,8,145.46758886400002,14.546758886400003
5,8,146.61575372800002,14.661575372800002
6,8,149.66616576,14.966616576000002
