gen_id,bus,Pg,Qg,type,S_base_MVA,H_s,M,D
32,43,5.5,0.203512,Coal,800.0,5.0,21.22065907891938,42.44131815783876
109,152,4.4,1.174249,Coal,800.0,5.0,21.22065907891938,42.44131815783876
81,129,8.601874,0.309417,Coal,730.0,5.0,19.363851409513934,38.72770281902787
54,79,8.8,-0.422257,LNG,400.0,3.0,6.366197723675814,12.732395447351628
29,40,9.0,0.363243,Coal,200.0,5.0,5.305164769729845,10.61032953945969
101,145,4.4,-0.25041,Coal,1200.0,5.0,31.83098861837907,63.66197723675814
78,126,8.8,0.472308,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
2,1,7.534242,0.320176,LNG,800.0,3.0,12.732395447351628,25.464790894703256
1,1,8.0,0.320176,LNG,800.0,3.0,12.732395447351628,25.464790894703256
3,1,7.3,0.320176,Coal,700.0,5.0,18.568076694054458,37.136153388108916
74,126,7.430848,0.472308,Coal,700.0,5.0,18.568076694054458,37.136153388108916
41,49,9.0,0.129663,LNG,440.0,3.0,7.002817496043396,14.005634992086792
53,78,1.1,0.531159,LNG,990.0,3.0,15.75633936609764,31.51267873219528
51,72,9.5,-1.084683,Coal,1100.0,5.0,29.17840623351415,58.3568124670283
119,168,7.786871,-0.484553,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
106,152,7.7,1.174249,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
75,126,8.538995,0.472308,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
42,52,7.863223,-4.031195,Coal,900.0,5.0,23.873241463784304,47.74648292756861
33,43,4.75152,0.203512,LNG,880.0,3.0,14.005634992086792,28.011269984173584
28,37,8.772843,0.389511,LNG,550.0,3.0,8.753521870054245,17.50704374010849
52,72,9.5,-1.084683,LNG,850.0,3.0,13.528170162811104,27.05634032562221
50,72,10.0,-1.084683,LNG,420.0,3.0,6.684507609859605,13.36901521971921
111,163,8.8,2.247253,LNG,880.0,3.0,14.005634992086792,28.011269984173584
63,91,9.5,-1.531638,LNG,990.0,3.0,15.75633936609764,31.51267873219528
121,168,7.244798,-0.484553,LNG,900.0,3.0,14.323944878270582,28.647889756541165
115,166,9.9,4.554314,LNG,880.0,3.0,14.005634992086792,28.011269984173584
92,139,8.06976,-0.465813,LNG,880.0,3.0,14.005634992086792,28.011269984173584
88,133,9.0,-1.44826,LNG,550.0,3.0,8.753521870054245,17.50704374010849
93,139,7.614351,-0.465813,LNG,550.0,3.0,8.753521870054245,17.50704374010849
26,33,8.8,-4.179551,LNG,440.0,3.0,7.002817496043396,14.005634992086792
10,24,7.0,1.356444,LNG,880.0,3.0,14.005634992086792,28.011269984173584
120,168,8.8,-0.484553,LNG,880.0,3.0,14.005634992086792,28.011269984173584
77,126,8.8,0.472308,LNG,880.0,3.0,14.005634992086792,28.011269984173584
87,132,4.4,2.347483,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
24,30,8.5,0.771142,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
58,90,7.0,3.157925,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
25,30,4.2,0.771142,Coal,900.0,5.0,23.873241463784304,47.74648292756861
49,72,10.0,-1.084683,Coal,1200.0,5.0,31.83098861837907,63.66197723675814
59,91,10.0,-1.531638,Coal,1000.0,5.0,26.525823848649225,53.05164769729845
