gen_id,bus,Pg,Qg,type
32,43,5.500000,0.203512,Coal
109,152,4.400000,1.174249,Coal
81,129,8.601874,0.309417,Coal
54,79,8.800000,-0.422257,LNG
29,40,9.000000,0.363243,Coal
101,145,4.400000,-0.250410,Coal
78,126,8.800000,0.472308,Coal
2,1,7.534242,0.320176,LNG
1,1,8.000000,0.320176,LNG
3,1,7.300000,0.320176,Coal
74,126,7.430848,0.472308,Coal
41,49,9.000000,0.129663,LNG
53,78,1.100000,0.531159,LNG
51,72,9.500000,-1.084683,Coal
119,168,7.786871,-0.484553,Coal
106,152,7.700000,1.174249,Coal
75,126,8.538995,0.472308,Coal
42,52,7.863223,-4.031195,Coal
33,43,4.751520,0.203512,LNG
28,37,8.772843,0.389511,LNG
52,72,9.500000,-1.084683,LNG
50,72,10.000000,-1.084683,LNG
111,163,8.800000,2.247253,LNG
63,91,9.500000,-1.531638,LNG
121,168,7.244798,-0.484553,LNG
115,166,9.900000,4.554314,LNG
92,139,8.069760,-0.465813,LNG
88,133,9.000000,-1.448260,LNG
93,139,7.614351,-0.465813,LNG
26,33,8.800000,-4.179551,LNG
10,24,7.000000,1.356444,LNG
120,168,8.800000,-0.484553,LNG
77,126,8.800000,0.472308,LNG
87,132,4.400000,2.347483,Coal
24,30,8.500000,0.771142,Coal
58,90,7.000000,3.157925,Coal
25,30,4.200000,0.771142,Coal
49,72,10.000000,-1.084683,Coal
59,91,10.000000,-1.531638,Coal
5,5,2.000000,-0.019207,Coal
31,43,8.800000,0.203512,Coal
122,172,7.700000,1.128992,Nuclear
43,52,7.740961,-3.164651,Nuclear
90,139,7.381323,-0.465813,Nuclear
39,49,7.749674,0.129663,Nuclear
112,163,7.700000,2.247253,Nuclear
34,43,4.400000,0.203512,Nuclear
44,52,7.482516,-3.164651,LNG
94,139,9.075277,-0.465813,LNG
55,79,8.800000,-0.422257,LNG
86,129,7.700000,0.309417,LNG
17,26,9.045927,0.764771,Coal
99,141,9.500000,-0.782357,Coal
71,126,8.880573,0.472308,Nuclear
37,44,8.800000,-1.074600,Nuclear
47,72,10.000000,-1.084683,Nuclear
9,24,8.000000,1.356444,Nuclear
73,126,8.733244,0.472308,Nuclear
82,129,7.838673,0.309417,Nuclear
79,126,7.700000,0.472308,Nuclear
20,26,9.000000,0.764771,LNG
6,7,6.903335,-0.461419,Coal
84,129,7.819465,0.309417,Coal
104,149,14.000000,0.658448,Coal
80,129,8.230742,0.309417,Coal
98,141,9.500000,-0.782357,Coal
113,165,2.090000,0.012442,Coal
110,158,7.700000,-3.553793,LNG
70,113,4.000000,0.560515,LNG
14,24,4.400000,1.356444,LNG
7,7,7.469840,-0.461419,Coal
96,141,10.000000,-0.782357,Coal
57,88,5.000000,-0.608783,Coal
8,8,8.000000,0.958692,Coal
64,91,9.500000,-1.531638,Coal
19,26,7.655391,0.764771,LNG
91,139,8.905886,-0.465813,LNG
102,147,9.900000,0.078670,LNG
60,91,10.000000,-1.531638,Coal
97,141,10.000000,-0.782357,Coal
4,2,4.000000,1.051174,Coal
22,28,5.500000,-1.304393,Coal
11,24,7.000000,1.356444,Coal
35,44,8.800000,-1.074600,Coal
67,108,7.000000,0.088248,Coal
15,25,9.900000,0.791874,Nuclear
118,168,8.800000,-0.484553,Nuclear
100,141,6.500000,-0.782357,Nuclear
16,26,7.216457,0.764771,Nuclear
40,49,7.568390,0.129663,Nuclear
21,26,8.800000,0.764771,LNG
38,49,7.281274,0.129663,LNG
72,126,9.116328,0.472308,LNG
83,129,7.780606,0.309417,Nuclear
45,52,7.435815,-10.134298,Nuclear
68,108,7.000000,0.088248,LNG
56,79,8.800000,-0.422257,LNG
36,44,8.800000,-1.074600,LNG
95,139,7.163690,-0.465813,LNG
66,108,10.000000,0.088248,LNG
76,126,7.203312,0.472308,LNG
85,129,7.700000,0.309417,LNG
48,72,10.000000,-1.084683,LNG
103,147,9.900000,0.078670,LNG
18,26,8.872249,0.764771,LNG
30,40,8.800000,0.363243,LNG
105,149,14.000000,0.658448,LNG
