t,R
0,0.999334443
0.3,0.999334443
0.6,0.999334443
0.9,0.999334443
1.2,0.999334443
1.5,0.999334443
1.8,0.999334443
2.1,0.999334443
2.4,0.999334443
2.7,0.999334443
3,0.999334443
3.3,0.999334443
3.6,0.999334443
3.9,0.999334443
4.2,0.999334443
4.5,0.999334443
4.8,0.999334443
5.1,0.9993353636
5.4,0.9993372633
5.7,0.9993078975
6,0.9992363599
6.3,0.9991341749
6.6,0.9990171295
6.9,0.9989001808
7.2,0.99879392
7.5,0.9987011946
7.8,0.9986189648
8.1,0.998543597
8.4,0.9984738358
8.7,0.9984104104
9,0.9983544874
9.3,0.9983066125
9.6,0.9982664225
9.9,0.9982328686
10.2,0.9982046466
10.5,0.9981805702
10.8,0.9981597591
11.1,0.9981416572
11.4,0.9981259424
11.7,0.9981124009
12,0.9981008291
12.3,0.9980909908
12.6,0.9980826249
12.9,0.998075475
13.2,0.9980693188
13.5,0.998063983
13.8,0.9980593402
14.1,0.9980552959
14.4,0.9980517747
14.7,0.9980487108
15,0.9980460443
15.3,0.9980437208
15.6,0.9980416923
15.9,0.998039918
16.2,0.9980383638
16.5,0.998037001
16.8,0.9980358054
17.1,0.9980347558
17.4,0.9980338339
17.7,0.9980330237
18,0.998032311
18.3,0.9980316838
18.6,0.9980311313
18.9,0.9980306445
19.2,0.9980302154
19.5,0.998029837
19.8,0.9980295033
20.1,0.9980292089
20.4,0.998028949
20.7,0.9980287196
21,0.9980285171
