t,R
0,0.999334443
0.01,0.999334443
0.02,0.999334443
0.03,0.999334443
0.04,0.999334443
0.05,0.999334443
0.06,0.999334443
0.07,0.999334443
0.08,0.999334443
0.09,0.999334443
0.1,0.999334443
0.11,0.999334443
0.12,0.999334443
0.13,0.999334443
0.14,0.999334443
0.15,0.999334443
0.16,0.999334443
0.17,0.999334443
0.18,0.999334443
0.19,0.999334443
0.2,0.999334443
0.21,0.999334443
0.22,0.999334443
0.23,0.999334443
0.24,0.999334443
0.25,0.999334443
0.26,0.999334443
0.27,0.999334443
0.28,0.999334443
0.29,0.999334443
0.3,0.999334443
0.31,0.999334443
0.32,0.999334443
0.33,0.999334443
0.34,0.999334443
0.35,0.999334443
0.36,0.999334443
0.37,0.999334443
0.38,0.999334443
0.39,0.999334443
0.4,0.999334443
0.41,0.999334443
0.42,0.999334443
0.43,0.999334443
0.44,0.999334443
0.45,0.999334443
0.46,0.999334443
0.47,0.999334443
0.48,0.999334443
0.49,0.999334443
0.5,0.999334443
0.51,0.999334443
0.52,0.999334443
0.53,0.999334443
0.54,0.999334443
0.55,0.999334443
0.56,0.999334443
0.57,0.999334443
0.58,0.999334443
0.59,0.999334443
0.6,0.999334443
0.61,0.999334443
0.62,0.999334443
0.63,0.999334443
0.64,0.999334443
0.65,0.999334443
0.66,0.999334443
0.67,0.999334443
0.68,0.999334443
0.69,0.999334443
0.7,0.999334443
0.71,0.999334443
0.72,0.999334443
0.73,0.999334443
0.74,0.999334443
0.75,0.999334443
0.76,0.999334443
0.77,0.999334443
0.78,0.999334443
0.79,0.999334443
0.8,0.999334443
0.81,0.999334443
0.82,0.999334443
0.83,0.999334443
0.84,0.999334443
0.85,0.999334443
0.86,0.999334443
0.87,0.999334443
0.88,0.999334443
0.89,0.999334443
0.9,0.999334443
0.91,0.999334443
0.92,0.999334443
0.93,0.999334443
0.94,0.999334443
0.95,0.999334443
0.96,0.999334443
0.97,0.999334443
0.98,0.999334443
0.99,0.999334443
1,0.999334443
1.01,0.999334443
1.02,0.999334443
1.03,0.999334443
1.04,0.999334443
1.05,0.999334443
1.06,0.999334443
1.07,0.999334443
1.08,0.999334443
1.09,0.999334443
1.1,0.999334443
1.11,0.999334443
1.12,0.999334443
1.13,0.999334443
1.14,0.999334443
1.15,0.999334443
1.16,0.999334443
1.17,0.999334443
1.18,0.999334443
1.19,0.999334443
1.2,0.999334443
1.21,0.999334443
1.22,0.999334443
1.23,0.999334443
1.24,0.999334443
1.25,0.999334443
1.26,0.999334443
1.27,0.999334443
1.28,0.999334443
1.29,0.999334443
1.3,0.999334443
1.31,0.999334443
1.32,0.999334443
1.33,0.999334443
1.34,0.999334443
1.35,0.999334443
1.36,0.999334443
1.37,0.999334443
1.38,0.999334443
1.39,0.999334443
1.4,0.999334443
1.41,0.999334443
1.42,0.999334443
1.43,0.999334443
1.44,0.999334443
1.45,0.999334443
1.46,0.999334443
1.47,0.999334443
1.48,0.999334443
1.49,0.999334443
1.5,0.999334443
1.51,0.999334443
1.52,0.999334443
1.53,0.999334443
1.54,0.999334443
1.55,0.999334443
1.56,0.999334443
1.57,0.999334443
1.58,0.999334443
1.59,0.999334443
1.6,0.999334443
1.61,0.999334443
1.62,0.999334443
1.63,0.999334443
1.64,0.999334443
1.65,0.999334443
1.66,0.999334443
1.67,0.999334443
1.68,0.999334443
1.69,0.999334443
1.7,0.999334443
1.71,0.999334443
1.72,0.999334443
1.73,0.999334443
1.74,0.999334443
1.75,0.999334443
1.76,0.999334443
1.77,0.999334443
1.78,0.999334443
1.79,0.999334443
1.8,0.999334443
1.81,0.999334443
1.82,0.999334443
1.83,0.999334443
1.84,0.999334443
1.85,0.999334443
1.86,0.999334443
1.87,0.999334443
1.88,0.999334443
1.89,0.999334443
1.9,0.999334443
1.91,0.999334443
1.92,0.999334443
1.93,0.999334443
1.94,0.999334443
1.95,0.999334443
1.96,0.999334443
1.97,0.999334443
1.98,0.999334443
1.99,0.999334443
2,0.999334443
2.01,0.999334443
2.02,0.999334443
2.03,0.999334443
2.04,0.999334443
2.05,0.999334443
2.06,0.999334443
2.07,0.999334443
2.08,0.999334443
2.09,0.999334443
2.1,0.999334443
2.11,0.999334443
2.12,0.999334443
2.13,0.999334443
2.14,0.999334443
2.15,0.999334443
2.16,0.999334443
2.17,0.999334443
2.18,0.999334443
2.19,0.999334443
2.2,0.999334443
2.21,0.999334443
2.22,0.999334443
2.23,0.999334443
2.24,0.999334443
2.25,0.999334443
2.26,0.999334443
2.27,0.999334443
2.28,0.999334443
2.29,0.999334443
2.3,0.999334443
2.31,0.999334443
2.32,0.999334443
2.33,0.999334443
2.34,0.999334443
2.35,0.999334443
2.36,0.999334443
2.37,0.999334443
2.38,0.999334443
2.39,0.999334443
2.4,0.999334443
2.41,0.999334443
2.42,0.999334443
2.43,0.999334443
2.44,0.999334443
2.45,0.999334443
2.46,0.999334443
2.47,0.999334443
2.48,0.999334443
2.49,0.999334443
2.5,0.999334443
2.51,0.999334443
2.52,0.999334443
2.53,0.999334443
2.54,0.999334443
2.55,0.999334443
2.56,0.999334443
2.57,0.999334443
2.58,0.999334443
2.59,0.999334443
2.6,0.999334443
2.61,0.999334443
2.62,0.999334443
2.63,0.999334443
2.64,0.999334443
2.65,0.999334443
2.66,0.999334443
2.67,0.999334443
2.68,0.999334443
2.69,0.999334443
2.7,0.999334443
2.71,0.999334443
2.72,0.999334443
2.73,0.999334443
2.74,0.999334443
2.75,0.999334443
2.76,0.999334443
2.77,0.999334443
2.78,0.999334443
2.79,0.999334443
2.8,0.999334443
2.81,0.999334443
2.82,0.999334443
2.83,0.999334443
2.84,0.999334443
2.85,0.999334443
2.86,0.999334443
2.87,0.999334443
2.88,0.999334443
2.89,0.999334443
2.9,0.999334443
2.91,0.999334443
2.92,0.999334443
2.93,0.999334443
2.94,0.999334443
2.95,0.999334443
2.96,0.999334443
2.97,0.999334443
2.98,0.999334443
2.99,0.999334443
3,0.999334443
3.01,0.999334443
3.02,0.999334443
3.03,0.999334443
3.04,0.999334443
3.05,0.999334443
3.06,0.999334443
3.07,0.999334443
3.08,0.999334443
3.09,0.999334443
3.1,0.999334443
3.11,0.999334443
3.12,0.999334443
3.13,0.999334443
3.14,0.999334443
3.15,0.999334443
3.16,0.999334443
3.17,0.999334443
3.18,0.999334443
3.19,0.999334443
3.2,0.999334443
3.21,0.999334443
3.22,0.999334443
3.23,0.999334443
3.24,0.999334443
3.25,0.999334443
3.26,0.999334443
3.27,0.999334443
3.28,0.999334443
3.29,0.999334443
3.3,0.999334443
3.31,0.999334443
3.32,0.999334443
3.33,0.999334443
3.34,0.999334443
3.35,0.999334443
3.36,0.999334443
3.37,0.999334443
3.38,0.999334443
3.39,0.999334443
3.4,0.999334443
3.41,0.999334443
3.42,0.999334443
3.43,0.999334443
3.44,0.999334443
3.45,0.999334443
3.46,0.999334443
3.47,0.999334443
3.48,0.999334443
3.49,0.999334443
3.5,0.999334443
3.51,0.999334443
3.52,0.999334443
3.53,0.999334443
3.54,0.999334443
3.55,0.999334443
3.56,0.999334443
3.57,0.999334443
3.58,0.999334443
3.59,0.999334443
3.6,0.999334443
3.61,0.999334443
3.62,0.999334443
3.63,0.999334443
3.64,0.999334443
3.65,0.999334443
3.66,0.999334443
3.67,0.999334443
3.68,0.999334443
3.69,0.999334443
3.7,0.999334443
3.71,0.999334443
3.72,0.999334443
3.73,0.999334443
3.74,0.999334443
3.75,0.999334443
3.76,0.999334443
3.77,0.999334443
3.78,0.999334443
3.79,0.999334443
3.8,0.999334443
3.81,0.999334443
3.82,0.999334443
3.83,0.999334443
3.84,0.999334443
3.85,0.999334443
3.86,0.999334443
3.87,0.999334443
3.88,0.999334443
3.89,0.999334443
3.9,0.999334443
3.91,0.999334443
3.92,0.999334443
3.93,0.999334443
3.94,0.999334443
3.95,0.999334443
3.96,0.999334443
3.97,0.999334443
3.98,0.999334443
3.99,0.999334443
4,0.999334443
4.01,0.999334443
4.02,0.999334443
4.03,0.999334443
4.04,0.999334443
4.05,0.999334443
4.06,0.999334443
4.07,0.999334443
4.08,0.999334443
4.09,0.999334443
4.1,0.999334443
4.11,0.999334443
4.12,0.999334443
4.13,0.999334443
4.14,0.999334443
4.15,0.999334443
4.16,0.999334443
4.17,0.999334443
4.18,0.999334443
4.19,0.999334443
4.2,0.999334443
4.21,0.999334443
4.22,0.999334443
4.23,0.999334443
4.24,0.999334443
4.25,0.999334443
4.26,0.999334443
4.27,0.999334443
4.28,0.999334443
4.29,0.999334443
4.3,0.999334443
4.31,0.999334443
4.32,0.999334443
4.33,0.999334443
4.34,0.999334443
4.35,0.999334443
4.36,0.999334443
4.37,0.999334443
4.38,0.999334443
4.39,0.999334443
4.4,0.999334443
4.41,0.999334443
4.42,0.999334443
4.43,0.999334443
4.44,0.999334443
4.45,0.999334443
4.46,0.999334443
4.47,0.999334443
4.48,0.999334443
4.49,0.999334443
4.5,0.999334443
4.51,0.999334443
4.52,0.999334443
4.53,0.999334443
4.54,0.999334443
4.55,0.999334443
4.56,0.999334443
4.57,0.999334443
4.58,0.999334443
4.59,0.999334443
4.6,0.999334443
4.61,0.999334443
4.62,0.999334443
4.63,0.999334443
4.64,0.999334443
4.65,0.999334443
4.66,0.999334443
4.67,0.999334443
4.68,0.999334443
4.69,0.999334443
4.7,0.999334443
4.71,0.999334443
4.72,0.999334443
4.73,0.999334443
4.74,0.999334443
4.75,0.999334443
4.76,0.999334443
4.77,0.999334443
4.78,0.999334443
4.79,0.999334443
4.8,0.999334443
4.81,0.999334443
4.82,0.999334443
4.83,0.999334443
4.84,0.999334443
4.85,0.999334443
4.86,0.999334443
4.87,0.999334443
4.88,0.999334443
4.89,0.999334443
4.9,0.999334443
4.91,0.999334443
4.92,0.999334443
4.93,0.999334443
4.94,0.999334443
4.95,0.999334443
4.96,0.999334443
4.97,0.999334443
4.98,0.999334443
4.99,0.999334443
5,0.999334443
5.01,0.9993344432
5.02,0.9993344436
5.03,0.9993344443
5.04,0.9993344453
5.05,0.9993344465
5.06,0.9993344481
5.07,0.9993344499
5.08,0.999334452
5.09,0.9993344543
5.1,0.999334457
5.11,0.9993344599
5.12,0.999334463
5.13,0.9993344665
5.14,0.9993344702
5.15,0.9993344741
5.16,0.9993344783
5.17,0.9993344828
