시간,총부하MW,실부하MW
2025-05-01,51103.988281,50552.105469
2025-05-01 오전 12:05:00,51251.976562,50691.816406
2025-05-01 오전 12:10:00,51019.835938,50482.550781
2025-05-01 오전 12:15:00,50757.5625,50222.054688
2025-05-01 오전 12:20:00,50114.300781,49557.078125
2025-05-01 오전 12:25:00,50280.050781,49744.210938
2025-05-01 오전 12:30:00,50064.390625,49526.167969
2025-05-01 오전 12:35:00,49943.164062,49422.617188
2025-05-01 오전 12:40:00,49666.964844,49138.9375
2025-05-01 오전 12:45:00,49505.511719,48958.21875
2025-05-01 오전 12:50:00,49279.65625,48704.234375
2025-05-01 오전 12:55:00,48905.054688,48381.539062
2025-05-01 오전 1:00:00,48419.132812,47904.324219
2025-05-01 오전 1:05:00,48370.339844,47876.03125
2025-05-01 오전 1:10:00,48337.683594,47816.015625
2025-05-01 오전 1:15:00,48157.015625,47638.761719
2025-05-01 오전 1:20:00,48097.738281,47584.496094
2025-05-01 오전 1:25:00,47929.945312,47413.605469
2025-05-01 오전 1:30:00,47602.65625,47076.894531
2025-05-01 오전 1:35:00,47698.566406,47176.320312
2025-05-01 오전 1:40:00,47604.933594,47094.148438
2025-05-01 오전 1:45:00,47170.683594,46655.941406
2025-05-01 오전 1:50:00,46915.453125,46397.148438
2025-05-01 오전 1:55:00,46953.050781,46447.597656
2025-05-01 오전 2:00:00,46949.609375,46437.894531
2025-05-01 오전 2:05:00,47010.601562,46502.460938
2025-05-01 오전 2:10:00,46800.980469,46302.625
2025-05-01 오전 2:15:00,46707.65625,46207.175781
2025-05-01 오전 2:20:00,46291.925781,45793.5
2025-05-01 오전 2:25:00,46200.203125,45717.785156
2025-05-01 오전 2:30:00,46297.117188,45819.714844
2025-05-01 오전 2:35:00,46385.164062,45892.144531
2025-05-01 오전 2:40:00,46289.734375,45796.8125
2025-05-01 오전 2:45:00,46178.421875,45688.898438
2025-05-01 오전 2:50:00,46178.753906,45688.480469
2025-05-01 오전 2:55:00,46188.089844,45693.71875
2025-05-01 오전 3:00:00,45997.421875,45504.554688
2025-05-01 오전 3:05:00,45917.210938,45421.890625
2025-05-01 오전 3:10:00,45909.46875,45420.160156
2025-05-01 오전 3:15:00,45855.167969,45364.691406
2025-05-01 오전 3:20:00,45813.765625,45328.039062
